Short IR Data,,Log Transformed Short IR Data,,,,,,
x  (cm),y (V),x (cm),ln(y),,,,,
3,3,3,1.098612289,,SLOPE,-0.06316,,0.9387932548
4,2.73,4,1.004301609,,INTERCEPT,1.03005,,2.801205891
5,2.35,5,0.8544153282,,,,,
6,2,6,0.6931471806,,,,,
7,1.78,7,0.5766133643,,,,,
8,1.58,8,0.457424847,,,,,
9,1.4,9,0.3364722366,,,,,
10,1.25,10,0.2231435513,,,,,
12,1.15,12,0.1397619424,,,,,
14,0.9,14,-0.1053605157,,,,,
16,0.8,16,-0.2231435513,,,,,
18,0.75,18,-0.2876820725,,,,,
20,0.65,20,-0.4307829161,,,,,
25,0.52,25,-0.6539264674,,,,,
30,0.42,30,-0.8675005677,,,,,
35,0.38,35,-0.9675840263,,,,,
40,0.3,40,-1.203972804,,,,,
